08/05/2023,MEIDI-YA@MW(BAKERY)    SINGAPORE     SGP 06/05/2023 •••• •••• •••• 4999 -4.50 SGD,-4.50
08/05/2023,MEIDI-YA@MILLENIA WALK SINGAPORE     SGP 06/05/2023 •••• •••• •••• 4999 -2.20 SGD,-2.20
08/05/2023,TRANSIT 30000756029318 SINGAPORE     SGP 06/05/2023 •••• •••• •••• 1476 -20.00 SGD,-20.00
08/05/2023,BUDDHA TOOTH RELIC TEM SINGAPORE     SGP 06/05/2023 •••• •••• •••• 4999 -2.00 SGD,-2.00
08/05/2023,BUDDHA TOOTH RELIC TEM SINGAPORE     SGP 06/05/2023 •••• •••• •••• 1476 -12.00 SGD,-12.00
08/05/2023,KIZTOPIA               SINGAPORE     SGP 06/05/2023 •••• •••• •••• 4999 -79.60 SGD,-79.60
08/05/2023,POKKA PTE LTD          SINGAPORE     SGP 06/05/2023 •••• •••• •••• 4999 -1.60 SGD,-1.60
08/05/2023,KOUFU PTE LTD          SINGAPORE     SGP 06/05/2023 •••• •••• •••• 4999 -13.40 SGD,-13.40
08/05/2023,Grab* A-4T8A3Q9GWI3G   Singapore     SGP 06/05/2023 •••• •••• •••• 4999 -16.80 SGD,-16.80
08/05/2023,BUS/MRT 262480551      SINGAPORE     SGP 29/04/2023 •••• •••• •••• 4999 -7.98 SGD,-7.98
06/05/2023,Grab* A-4T7W43VGWJAJ   Singapore     SGP 06/05/2023 •••• •••• •••• 4999 -10.30 SGD,-10.30
06/05/2023,SIM SIANG CHOON        SINGAPORE     065 05/05/2023 •••• •••• •••• 1476 -100.00 SGD,-100.00
06/05/2023,"GRAB* 857C502793A12FAD SINGAPORE     SGP 05/05/2023 •••• •••• •••• 1476 -1,700.00 SGD","-1,700.00"
06/05/2023,GIANT IMM              SINGAPORE     SGP 05/05/2023 •••• •••• •••• 1476 -43.75 SGD,-43.75
06/05/2023,Grab* A-4T3U9ANGWFFH   Singapore     SGP 05/05/2023 •••• •••• •••• 4999 -14.10 SGD,-14.10
05/05/2023,Grab* A-4T3PE6TGWF63   Singapore     SGP 05/05/2023 •••• •••• •••• 4999 -15.10 SGD,-15.10
05/05/2023,Grab* A-4T29NJAWWHBE   Singapore     SGP 05/05/2023 •••• •••• •••• 4999 -16.30 SGD,-16.30
05/05/2023,GIVING.SG              SINGAPORE     SGP 05/05/2023 •••• •••• •••• 4999 -750.00 SGD,-750.00
05/05/2023,STRAITS CHINESE SEAFOO SINGAPORE     065 04/05/2023 •••• •••• •••• 4999 -113.57 SGD,-113.57
05/05/2023,Grab* A-4TWD7CKWWJXS   Singapore     SGP 04/05/2023 •••• •••• •••• 4999 -17.80 SGD,-17.80
05/05/2023,"GIVING.SG              SINGAPORE     SGP 04/05/2023 •••• •••• •••• 4999 -1,000.00 SGD","-1,000.00"
05/05/2023,ESSO-FAIRPRICE EXPRESS SINGAPORE     SGP 03/05/2023 •••• •••• •••• 1476 -7.30 SGD,-7.30
04/05/2023,Lazada                 Singapore     SGP 04/05/2023 •••• •••• •••• 1476 63.80 SGD,63.80
04/05/2023,Grab* A-4SVR7VTGWIWA   Singapore     SGP 04/05/2023 •••• •••• •••• 4999 -22.80 SGD,-22.80
04/05/2023,Cabcharge Asia Pte Ltd SINGAPORE     SGP 04/05/2023 •••• •••• •••• 4999 -16.60 SGD,-16.60
04/05/2023,Grab Subscription* v4- SINGAPORE     SGP 04/05/2023 •••• •••• •••• 4999 -5.99 SGD,-5.99
04/05/2023,PUTIEN RESTAURANT RC   SINGAPORE     065 03/05/2023 •••• •••• •••• 4999 -244.02 SGD,-244.02
04/05/2023,Lazada                 Singapore     SGP 03/05/2023 •••• •••• •••• 1476 -63.80 SGD,-63.80
03/05/2023,"GIVING.SG              SINGAPORE     SGP 03/05/2023 •••• •••• •••• 4999 -1,000.00 SGD","-1,000.00"
03/05/2023,GIVING.SG              SINGAPORE     SGP 03/05/2023 •••• •••• •••• 4999 -750.00 SGD,-750.00
03/05/2023,NTUC FairPrice App Pay SINGAPORE     065 01/05/2023 •••• •••• •••• 4999 -3.50 SGD,-3.50
03/05/2023,FOUR LEAVES - WATERWAY SINGAPORE     SGP 01/05/2023 •••• •••• •••• 4999 -9.00 SGD,-9.00
03/05/2023,2C2*AMZNPRIMESG MEMBER SINGAPORE     SGP 30/04/2023 •••• •••• •••• 1476 -2.99 SGD,-2.99
03/05/2023,BUS/MRT 260597721      SINGAPORE     SGP 24/04/2023 •••• •••• •••• 4999 -1.09 SGD,-1.09
03/05/2023,BUS/MRT 260153150      SINGAPORE     SGP 23/04/2023 •••• •••• •••• 4999 -4.52 SGD,-4.52
02/05/2023,DCC FEE 02/05/2023 •••• •••• •••• 4999  ,-0.07
02/05/2023,DCC FEE 02/05/2023 •••• •••• •••• 4999  ,-0.03
02/05/2023,Grab* A-4SMMPR5GWIJ7   Singapore     SGP 02/05/2023 •••• •••• •••• 4999 -11.80 SGD,-11.80
02/05/2023,McDonalds 198          Singapore     SGP 02/05/2023 •••• •••• •••• 4999 -17.45 SGD,-17.45
02/05/2023,MIDJOURNEY INC.        SOUTH SAN FRA CA 01/05/2023 •••• •••• •••• 4999 10.00 USD,13.80
